"","sample","group","variable","value","id","time","well","sample_group","sample_group_time","time_unit","date"
"1","M0","WT","30_Rep1",3732,"M0_WT_30_Rep1",30,"M0_WT_Rep1_2024-04-08","M0_WT","M0_WT_30","30 min","2024-04-08"
"2","M1","WT","30_Rep1",2542,"M1_WT_30_Rep1",30,"M1_WT_Rep1_2024-04-08","M1_WT","M1_WT_30","30 min","2024-04-08"
"3","M2","WT","30_Rep1",2016,"M2_WT_30_Rep1",30,"M2_WT_Rep1_2024-04-08","M2_WT","M2_WT_30","30 min","2024-04-08"
"4","M3","WT","30_Rep1",2033,"M3_WT_30_Rep1",30,"M3_WT_Rep1_2024-04-08","M3_WT","M3_WT_30","30 min","2024-04-08"
"5","M4","WT","30_Rep1",2203,"M4_WT_30_Rep1",30,"M4_WT_Rep1_2024-04-08","M4_WT","M4_WT_30","30 min","2024-04-08"
"6","M5","WT","30_Rep1",2492,"M5_WT_30_Rep1",30,"M5_WT_Rep1_2024-04-08","M5_WT","M5_WT_30","30 min","2024-04-08"
"7","M6","WT","30_Rep1",1883,"M6_WT_30_Rep1",30,"M6_WT_Rep1_2024-04-08","M6_WT","M6_WT_30","30 min","2024-04-08"
"8","M7","WT","30_Rep1",2284,"M7_WT_30_Rep1",30,"M7_WT_Rep1_2024-04-08","M7_WT","M7_WT_30","30 min","2024-04-08"
"9","M8","WT","30_Rep1",3054,"M8_WT_30_Rep1",30,"M8_WT_Rep1_2024-04-08","M8_WT","M8_WT_30","30 min","2024-04-08"
"10","M9","WT","30_Rep1",3343,"M9_WT_30_Rep1",30,"M9_WT_Rep1_2024-04-08","M9_WT","M9_WT_30","30 min","2024-04-08"
"11","M10","WT","30_Rep1",3146,"M10_WT_30_Rep1",30,"M10_WT_Rep1_2024-04-08","M10_WT","M10_WT_30","30 min","2024-04-08"
"12","M11","WT","30_Rep1",2439,"M11_WT_30_Rep1",30,"M11_WT_Rep1_2024-04-08","M11_WT","M11_WT_30","30 min","2024-04-08"
"13","M12","WT","30_Rep1",2638,"M12_WT_30_Rep1",30,"M12_WT_Rep1_2024-04-08","M12_WT","M12_WT_30","30 min","2024-04-08"
"14","M13","WT","30_Rep1",2039,"M13_WT_30_Rep1",30,"M13_WT_Rep1_2024-04-08","M13_WT","M13_WT_30","30 min","2024-04-08"
"15","M14","WT","30_Rep1",1993,"M14_WT_30_Rep1",30,"M14_WT_Rep1_2024-04-08","M14_WT","M14_WT_30","30 min","2024-04-08"
"16","M15","WT","30_Rep1",1765,"M15_WT_30_Rep1",30,"M15_WT_Rep1_2024-04-08","M15_WT","M15_WT_30","30 min","2024-04-08"
"17","M16","WT","30_Rep1",2662,"M16_WT_30_Rep1",30,"M16_WT_Rep1_2024-04-08","M16_WT","M16_WT_30","30 min","2024-04-08"
"18","M17","WT","30_Rep1",2135,"M17_WT_30_Rep1",30,"M17_WT_Rep1_2024-04-08","M17_WT","M17_WT_30","30 min","2024-04-08"
"19","M18","WT","30_Rep1",2257,"M18_WT_30_Rep1",30,"M18_WT_Rep1_2024-04-08","M18_WT","M18_WT_30","30 min","2024-04-08"
"20","M19","WT","30_Rep1",2484,"M19_WT_30_Rep1",30,"M19_WT_Rep1_2024-04-08","M19_WT","M19_WT_30","30 min","2024-04-08"
"21","M20","WT","30_Rep1",2713,"M20_WT_30_Rep1",30,"M20_WT_Rep1_2024-04-08","M20_WT","M20_WT_30","30 min","2024-04-08"
"22","no_crRNA","WT","30_Rep1",1448,"no_crRNA_WT_30_Rep1",30,"no_crRNA_WT_Rep1_2024-04-08","no_crRNA_WT","no_crRNA_WT_30","30 min","2024-04-08"
"23","no_RNP","WT","30_Rep1",1129,"no_RNP_WT_30_Rep1",30,"no_RNP_WT_Rep1_2024-04-08","no_RNP_WT","no_RNP_WT_30","30 min","2024-04-08"
"24","M0","WT","30_Rep2",3905,"M0_WT_30_Rep2",30,"M0_WT_Rep2_2024-04-08","M0_WT","M0_WT_30","30 min","2024-04-08"
"25","M1","WT","30_Rep2",2314,"M1_WT_30_Rep2",30,"M1_WT_Rep2_2024-04-08","M1_WT","M1_WT_30","30 min","2024-04-08"
"26","M2","WT","30_Rep2",1819,"M2_WT_30_Rep2",30,"M2_WT_Rep2_2024-04-08","M2_WT","M2_WT_30","30 min","2024-04-08"
"27","M3","WT","30_Rep2",2123,"M3_WT_30_Rep2",30,"M3_WT_Rep2_2024-04-08","M3_WT","M3_WT_30","30 min","2024-04-08"
"28","M4","WT","30_Rep2",2275,"M4_WT_30_Rep2",30,"M4_WT_Rep2_2024-04-08","M4_WT","M4_WT_30","30 min","2024-04-08"
"29","M5","WT","30_Rep2",2423,"M5_WT_30_Rep2",30,"M5_WT_Rep2_2024-04-08","M5_WT","M5_WT_30","30 min","2024-04-08"
"30","M6","WT","30_Rep2",2319,"M6_WT_30_Rep2",30,"M6_WT_Rep2_2024-04-08","M6_WT","M6_WT_30","30 min","2024-04-08"
"31","M7","WT","30_Rep2",2624,"M7_WT_30_Rep2",30,"M7_WT_Rep2_2024-04-08","M7_WT","M7_WT_30","30 min","2024-04-08"
"32","M8","WT","30_Rep2",3047,"M8_WT_30_Rep2",30,"M8_WT_Rep2_2024-04-08","M8_WT","M8_WT_30","30 min","2024-04-08"
"33","M9","WT","30_Rep2",3184,"M9_WT_30_Rep2",30,"M9_WT_Rep2_2024-04-08","M9_WT","M9_WT_30","30 min","2024-04-08"
"34","M10","WT","30_Rep2",3182,"M10_WT_30_Rep2",30,"M10_WT_Rep2_2024-04-08","M10_WT","M10_WT_30","30 min","2024-04-08"
"35","M11","WT","30_Rep2",2364,"M11_WT_30_Rep2",30,"M11_WT_Rep2_2024-04-08","M11_WT","M11_WT_30","30 min","2024-04-08"
"36","M12","WT","30_Rep2",2550,"M12_WT_30_Rep2",30,"M12_WT_Rep2_2024-04-08","M12_WT","M12_WT_30","30 min","2024-04-08"
"37","M13","WT","30_Rep2",1920,"M13_WT_30_Rep2",30,"M13_WT_Rep2_2024-04-08","M13_WT","M13_WT_30","30 min","2024-04-08"
"38","M14","WT","30_Rep2",2032,"M14_WT_30_Rep2",30,"M14_WT_Rep2_2024-04-08","M14_WT","M14_WT_30","30 min","2024-04-08"
"39","M15","WT","30_Rep2",1793,"M15_WT_30_Rep2",30,"M15_WT_Rep2_2024-04-08","M15_WT","M15_WT_30","30 min","2024-04-08"
"40","M16","WT","30_Rep2",2635,"M16_WT_30_Rep2",30,"M16_WT_Rep2_2024-04-08","M16_WT","M16_WT_30","30 min","2024-04-08"
"41","M17","WT","30_Rep2",2152,"M17_WT_30_Rep2",30,"M17_WT_Rep2_2024-04-08","M17_WT","M17_WT_30","30 min","2024-04-08"
"42","M18","WT","30_Rep2",2076,"M18_WT_30_Rep2",30,"M18_WT_Rep2_2024-04-08","M18_WT","M18_WT_30","30 min","2024-04-08"
"43","M19","WT","30_Rep2",2736,"M19_WT_30_Rep2",30,"M19_WT_Rep2_2024-04-08","M19_WT","M19_WT_30","30 min","2024-04-08"
"44","M20","WT","30_Rep2",2386,"M20_WT_30_Rep2",30,"M20_WT_Rep2_2024-04-08","M20_WT","M20_WT_30","30 min","2024-04-08"
"45","no_crRNA","WT","30_Rep2",2270,"no_crRNA_WT_30_Rep2",30,"no_crRNA_WT_Rep2_2024-04-08","no_crRNA_WT","no_crRNA_WT_30","30 min","2024-04-08"
"46","no_RNP","WT","30_Rep2",1060,"no_RNP_WT_30_Rep2",30,"no_RNP_WT_Rep2_2024-04-08","no_RNP_WT","no_RNP_WT_30","30 min","2024-04-08"
"47","M0","WT","30_Rep3",4194,"M0_WT_30_Rep3",30,"M0_WT_Rep3_2024-04-08","M0_WT","M0_WT_30","30 min","2024-04-08"
"48","M1","WT","30_Rep3",2331,"M1_WT_30_Rep3",30,"M1_WT_Rep3_2024-04-08","M1_WT","M1_WT_30","30 min","2024-04-08"
"49","M2","WT","30_Rep3",2289,"M2_WT_30_Rep3",30,"M2_WT_Rep3_2024-04-08","M2_WT","M2_WT_30","30 min","2024-04-08"
"50","M3","WT","30_Rep3",1909,"M3_WT_30_Rep3",30,"M3_WT_Rep3_2024-04-08","M3_WT","M3_WT_30","30 min","2024-04-08"
"51","M4","WT","30_Rep3",2189,"M4_WT_30_Rep3",30,"M4_WT_Rep3_2024-04-08","M4_WT","M4_WT_30","30 min","2024-04-08"
"52","M5","WT","30_Rep3",2153,"M5_WT_30_Rep3",30,"M5_WT_Rep3_2024-04-08","M5_WT","M5_WT_30","30 min","2024-04-08"
"53","M6","WT","30_Rep3",2125,"M6_WT_30_Rep3",30,"M6_WT_Rep3_2024-04-08","M6_WT","M6_WT_30","30 min","2024-04-08"
"54","M7","WT","30_Rep3",2057,"M7_WT_30_Rep3",30,"M7_WT_Rep3_2024-04-08","M7_WT","M7_WT_30","30 min","2024-04-08"
"55","M8","WT","30_Rep3",3196,"M8_WT_30_Rep3",30,"M8_WT_Rep3_2024-04-08","M8_WT","M8_WT_30","30 min","2024-04-08"
"56","M9","WT","30_Rep3",3209,"M9_WT_30_Rep3",30,"M9_WT_Rep3_2024-04-08","M9_WT","M9_WT_30","30 min","2024-04-08"
