"","sample","group","activity","activity_sd","z_activity","category","target_activity"
"1","M0","WT",1.21525290130213,0.170964413377446,1,"High activity",1
"2","M1","WT",0.946455392602589,0.0523888990201887,0.0708133552444877,"No activity",0
"3","M2","WT",0.963982565564943,0.0444266905322223,0.131401770351949,"No activity",0
"4","M3","WT",0.946704175167241,0.0516553365489899,0.0716733536784026,"No activity",0
"5","M4","WT",1.03951292647752,0.0660050389634206,0.392497205994484,"Low activity",0.392497205994484
"6","M5","WT",1.0994535841771,0.14612249645433,0.599701725417925,"High activity",0.599701725417925
"7","M6","WT",1.1121910415946,0.114173268974068,0.643732919671735,"High activity",0.643732919671735
"8","M7","WT",1.10086243307444,0.0824295448217444,0.604571873159319,"High activity",0.604571873159319
"9","M8","WT",1.18315098118903,0.152875916995695,0.88902919679423,"High activity",0.88902919679423
"10","M9","WT",1.18584207303133,0.145809579837054,0.898331837327513,"High activity",0.898331837327513
"11","M10","WT",1.16462001094546,0.157013707506865,0.824970827548208,"High activity",0.824970827548208
"12","M11","WT",1.11629073426507,0.10689302013509,0.657904850414054,"High activity",0.657904850414054
"13","M12","WT",1.11077639151304,0.112092265605077,0.638842718236651,"High activity",0.638842718236651
"14","M13","WT",1.04526792012933,0.0692543414265758,0.412391226842298,"Low activity",0.412391226842298
"15","M14","WT",0.9963996675821,0.0458443876606496,0.2434621030602,"No activity",0
"16","M15","WT",1.0511905422796,0.0872564954774018,0.432864710508838,"Low activity",0.432864710508838
"17","M16","WT",1.07647672618305,0.105165655134689,0.520274688724753,"Low activity",0.520274688724753
"18","M17","WT",1.02687334347761,0.0532628319472484,0.348804346727981,"Low activity",0.348804346727981
"19","M18","WT",1.06044251038412,0.0816986114430634,0.46484716913362,"Low activity",0.46484716913362
"20","M19","WT",1.11888504591863,0.141303167398958,0.666872938520554,"High activity",0.666872938520554
"21","M20","WT",1.07147682297773,0.122250772204827,0.502990885366843,"Low activity",0.502990885366843
"22","con","WT",0.925970322590222,0.0645701859089815,0,"No activity",0
